"Country","Date","Cases","Deaths","Vaccinated","Population","MedianAge","HospitalBeds","PositiveRate","Stringency"
"Afghanistan",2022-02-07,165712,7425,4634282,41128772,18.6,0.5,0.44,19.44
"Afghanistan",2022-02-14,170152,7488,4723416,41128772,18.6,0.5,0.47,19.44
"Afghanistan",2022-02-20,171930,7534,4801524,41128772,18.6,0.5,0.18,19.44
"Afghanistan",2022-02-27,173180,7588,4907058,41128772,18.6,0.5,0.13,19.44
"Afghanistan",2022-03-06,174347,7622,4952744,41128772,18.6,0.5,0.16,19.44
"Afghanistan",2022-03-17,176062,7642,5066540,41128772,18.6,0.5,0.14,16.67
"Afghanistan",2022-03-22,177039,7652,5082824,41128772,18.6,0.5,0.09,16.67
"Afghanistan",2022-04-04,177805,7671,5188057,41128772,18.6,0.5,0.04,16.67
"Afghanistan",2022-04-14,178090,7675,5246981,41128772,18.6,0.5,0.05,16.67
"Afghanistan",2022-04-18,178387,7676,5253929,41128772,18.6,0.5,0.04,16.67
"Afghanistan",2022-04-26,178648,7681,5286657,41128772,18.6,0.5,0.03,16.67
"Afghanistan",2022-04-27,178648,7681,5287027,41128772,18.6,0.5,0.03,16.67
"Afghanistan",2022-05-05,178879,7683,5318484,41128772,18.6,0.5,0.01,16.67
"Afghanistan",2022-05-08,178923,7684,5320381,41128772,18.6,0.5,0.01,16.67
"Afghanistan",2022-05-10,178923,7684,5326298,41128772,18.6,0.5,0.02,11.11
"Afghanistan",2022-05-15,179243,7690,5359930,41128772,18.6,0.5,0.04,11.11
"Afghanistan",2022-05-23,179674,7697,5407462,41128772,18.6,0.5,0.05,11.11
"Afghanistan",2022-06-01,180123,7701,5456919,41128772,18.6,0.5,0.19,11.11
"Afghanistan",2022-06-15,181033,7709,5573175,41128772,18.6,0.5,0.15,11.11
"Afghanistan",2022-06-21,181574,7713,5629522,41128772,18.6,0.5,0.21,11.11
"Albania",2021-01-10,62378,1230,0,2842318,38,2.89,0.18,56.48
"Albania",2021-01-12,62378,1230,128,2842318,38,2.89,0.18,60.19
"Albania",2021-01-13,62378,1230,188,2842318,38,2.89,0.18,60.19
"Albania",2021-01-14,62378,1230,266,2842318,38,2.89,0.18,60.19
"Albania",2021-01-15,62378,1230,308,2842318,38,2.89,0.18,60.19
"Albania",2021-01-16,62378,1230,369,2842318,38,2.89,0.19,60.19
"Albania",2021-01-17,66635,1265,405,2842318,38,2.89,0.19,60.19
"Albania",2021-01-18,66635,1265,447,2842318,38,2.89,0.18,60.19
"Albania",2021-01-19,66635,1265,483,2842318,38,2.89,0.19,60.19
"Albania",2021-01-20,66635,1265,519,2842318,38,2.89,0.19,60.19
"Albania",2021-01-21,66635,1265,549,2842318,38,2.89,0.19,60.19
"Albania",2021-02-02,76350,1358,549,2842318,38,2.89,0.25,60.19
"Albania",2021-02-09,83082,1433,689,2842318,38,2.89,0.31,60.19
"Albania",2021-02-17,90835,1531,1090,2842318,38,2.89,0.3,60.19
"Albania",2021-02-18,90835,1531,2438,2842318,38,2.89,0.3,60.19
"Albania",2021-02-22,97909,1636,6073,2842318,38,2.89,0.3,60.19
"Albania",2021-05-11,131577,2408,440921,2842318,38,2.89,0.02,60.19
"Albania",2021-05-12,131577,2408,444755,2842318,38,2.89,0.02,60.19
"Albania",2021-05-13,131577,2408,445402,2842318,38,2.89,0.02,60.19
"Albania",2021-05-14,131577,2408,448571,2842318,38,2.89,0.02,60.19
"Albania",2021-05-17,131939,2427,456980,2842318,38,2.89,0.01,60.19
"Albania",2021-05-18,131939,2427,460191,2842318,38,2.89,0.01,60.19
"Albania",2021-05-19,131939,2427,463402,2842318,38,2.89,0.01,60.19
"Albania",2021-05-20,131939,2427,466083,2842318,38,2.89,0.01,60.19
"Albania",2021-05-21,131939,2427,469169,2842318,38,2.89,0.01,46.3
"Albania",2021-05-23,132153,2441,472840,2842318,38,2.89,0.01,46.3
"Albania",2021-05-24,132153,2441,475237,2842318,38,2.89,0.01,46.3
"Albania",2021-05-26,132153,2441,479789,2842318,38,2.89,0.01,46.3
"Albania",2021-05-27,132153,2441,481788,2842318,38,2.89,0.01,46.3
"Albania",2021-05-30,132285,2448,485162,2842318,38,2.89,0.01,46.3
"Albania",2021-05-31,132285,2448,486128,2842318,38,2.89,0.01,46.3
"Albania",2021-06-01,132285,2448,487078,2842318,38,2.89,0.01,46.3
"Albania",2021-06-03,132285,2448,490050,2842318,38,2.89,0,46.3
"Albania",2021-06-06,132372,2451,492522,2842318,38,2.89,0,46.3
"Albania",2021-06-07,132372,2451,493346,2842318,38,2.89,0,37.96
"Albania",2021-06-08,132372,2451,494437,2842318,38,2.89,0,37.96
"Albania",2021-06-09,132372,2451,496024,2842318,38,2.89,0,37.96
"Albania",2021-06-10,132372,2451,498437,2842318,38,2.89,0,37.96
"Albania",2021-06-11,132372,2451,501735,2842318,38,2.89,0,37.96
"Albania",2021-06-12,132372,2451,503721,2842318,38,2.89,0,37.96
"Albania",2021-06-13,132437,2453,504257,2842318,38,2.89,0,37.96
"Albania",2021-06-14,132437,2453,507764,2842318,38,2.89,0,37.96
"Albania",2021-06-15,132437,2453,507854,2842318,38,2.89,0,37.96
"Albania",2021-06-16,132437,2453,509282,2842318,38,2.89,0,37.96
"Albania",2021-06-17,132437,2453,511175,2842318,38,2.89,0,37.96
"Albania",2021-06-20,132484,2454,515884,2842318,38,2.89,0,37.96
"Albania",2021-06-21,132484,2454,519674,2842318,38,2.89,0,37.96
"Albania",2021-06-22,132484,2454,525800,2842318,38,2.89,0,37.96
"Albania",2021-06-23,132484,2454,532225,2842318,38,2.89,0,37.96
"Albania",2021-06-24,132484,2454,537018,2842318,38,2.89,0,37.96
"Albania",2021-06-28,132506,2455,547300,2842318,38,2.89,0,37.96
"Albania",2021-06-29,132506,2455,556252,2842318,38,2.89,0,37.96
"Albania",2021-06-30,132506,2455,564530,2842318,38,2.89,0,37.96
"Albania",2021-07-01,132506,2455,567084,2842318,38,2.89,0,37.96
"Albania",2021-07-02,132506,2455,569352,2842318,38,2.89,0,37.96
"Albania",2021-07-04,132526,2456,571759,2842318,38,2.89,0,37.96
"Albania",2021-07-05,132526,2456,574187,2842318,38,2.89,0,37.96
"Albania",2021-07-06,132526,2456,576905,2842318,38,2.89,0,37.96
"Albania",2021-07-07,132526,2456,579552,2842318,38,2.89,0,37.96
"Albania",2021-07-08,132526,2456,582106,2842318,38,2.89,0,37.96
"Albania",2021-07-09,132526,2456,584832,2842318,38,2.89,0,37.96
"Albania",2021-07-10,132526,2456,587238,2842318,38,2.89,0,37.96
"Albania",2021-07-11,132580,2456,587876,2842318,38,2.89,0,37.96
"Albania",2021-07-12,132580,2456,590476,2842318,38,2.89,0,37.96
"Albania",2021-07-13,132580,2456,592502,2842318,38,2.89,0,37.96
"Albania",2021-07-14,132580,2456,594669,2842318,38,2.89,0,37.96
"Albania",2021-07-15,132580,2456,596977,2842318,38,2.89,0,37.96
"Albania",2021-07-16,132580,2456,599387,2842318,38,2.89,0,37.96
"Albania",2021-07-17,132580,2456,601701,2842318,38,2.89,0,37.96
"Albania",2021-07-18,132647,2456,602460,2842318,38,2.89,0.01,37.96
"Albania",2021-07-20,132647,2456,609538,2842318,38,2.89,0.01,37.96
"Albania",2021-07-21,132647,2456,616592,2842318,38,2.89,0.01,37.96
"Albania",2021-07-22,132647,2456,624490,2842318,38,2.89,0.01,37.96
"Albania",2021-07-25,132828,2456,640047,2842318,38,2.89,0.01,37.96
"Albania",2021-07-29,132828,2456,660756,2842318,38,2.89,0.01,37.96
"Albania",2021-07-30,132828,2456,665632,2842318,38,2.89,0.01,37.96
"Albania",2021-07-31,132828,2456,670215,2842318,38,2.89,0.01,37.96
"Albania",2021-08-01,133036,2457,672765,2842318,38,2.89,0.01,37.96
"Albania",2021-08-02,133036,2457,677938,2842318,38,2.89,0.01,37.96
"Albania",2021-08-03,133036,2457,683052,2842318,38,2.89,0.01,37.96
"Albania",2021-08-04,133036,2457,687768,2842318,38,2.89,0.01,37.96
"Albania",2021-08-05,133036,2457,693000,2842318,38,2.89,0.02,37.96
"Albania",2021-08-08,133591,2458,706470,2842318,38,2.89,0.03,37.96
"Albania",2021-08-10,133591,2458,720232,2842318,38,2.89,0.04,37.96
"Albania",2021-08-13,133591,2458,742540,2842318,38,2.89,0.05,37.96
